Frame,Progress,VisibleTiles,RenderableTiles,MissingCount
244,0.05119,48,41,0
245,0.05136,47,41,0
246,0.05153,48,41,1
247,0.05170,48,40,1
248,0.05187,48,38,1
249,0.05204,49,38,1
250,0.05221,48,37,0
251,0.05238,47,40,0
252,0.05255,47,40,0
253,0.05272,50,40,4
254,0.05289,48,45,0
255,0.05306,51,45,5
256,0.05323,50,44,0
257,0.05340,49,47,0
258,0.05357,48,46,0
259,0.05374,48,46,0
260,0.05391,46,46,0
261,0.05408,46,46,0
262,0.05425,46,46,0
263,0.05442,49,45,6
264,0.05458,49,44,2
265,0.05475,50,44,1
266,0.05493,50,42,4
267,0.05509,50,42,0
268,0.05526,50,46,0
269,0.05543,49,46,0
270,0.05560,48,45,0
271,0.05577,47,44,0
272,0.05594,46,46,0
273,0.05612,49,46,4
274,0.05629,49,46,0
275,0.05646,46,44,0
276,0.05662,46,44,0
277,0.05679,46,44,0
278,0.05696,46,43,1
279,0.05713,45,42,0
280,0.05730,44,42,0
281,0.05747,46,41,4
282,0.05764,46,43,0
283,0.05782,50,41,9
284,0.05798,49,40,0
285,0.05815,48,42,2
286,0.05832,47,41,0
287,0.05849,47,41,0
288,0.05866,45,41,0
289,0.05883,45,44,0
290,0.05900,45,44,0
291,0.05917,44,43,2
292,0.05934,45,43,1
293,0.05951,46,42,4
294,0.05968,46,42,0
295,0.05985,47,41,3
296,0.06002,46,41,0
297,0.06019,46,44,0
298,0.06036,44,43,0
299,0.06053,51,42,9
300,0.06070,49,41,0
301,0.06087,49,41,1
302,0.06104,49,41,0
303,0.06121,47,33,1
304,0.06138,48,33,1
305,0.06155,48,33,1
306,0.06172,47,36,0
307,0.06189,47,36,0
308,0.06206,49,36,4
309,0.06223,48,36,1
310,0.06240,47,45,0
311,0.06257,46,44,0
312,0.06274,46,46,0
313,0.06291,44,44,0
314,0.06308,47,44,4
315,0.06325,48,43,4
316,0.06341,47,42,0
317,0.06358,49,40,7
318,0.06375,49,40,0
319,0.06392,52,43,4
320,0.06409,53,43,3
321,0.06426,51,42,0
322,0.06443,49,41,0
323,0.06460,52,44,4
324,0.06477,50,45,0
325,0.06494,50,48,0
326,0.06511,48,47,0
327,0.06528,48,47,0
328,0.06545,47,44,1
329,0.06563,48,43,4
330,0.06579,48,43,0
331,0.06596,50,44,5
332,0.06613,49,43,0
333,0.06630,48,46,0
334,0.06647,47,45,0
335,0.06664,44,44,0
336,0.06681,44,44,0
337,0.06698,44,43,2
338,0.06715,43,42,0
339,0.06732,44,41,4
340,0.06749,44,41,0
341,0.06766,44,40,3
342,0.06782,43,40,0
343,0.06800,41,40,0
344,0.06817,47,39,10
345,0.06834,44,38,0
346,0.06851,44,38,0
347,0.06868,47,37,5
348,0.06885,47,37,1
349,0.06902,48,34,2
350,0.06918,47,34,0
351,0.06935,46,33,0
352,0.06953,47,35,5
353,0.06969,45,38,0
354,0.06986,45,38,0
355,0.07003,43,42,0
356,0.07020,43,42,0
357,0.07037,47,43,6
358,0.07054,46,41,2
359,0.07071,47,39,5
360,0.07088,47,39,0
361,0.07105,47,38,3
362,0.07122,45,41,0
363,0.07139,43,39,0
364,0.07156,46,39,4
365,0.07173,43,41,0
366,0.07190,42,40,0
367,0.07207,41,40,0
368,0.07224,40,40,0
369,0.07241,40,38,1
370,0.07258,42,37,4
371,0.07275,48,30,10
372,0.07292,47,29,0
373,0.07309,45,28,0
374,0.07326,43,30,0
375,0.07343,42,30,0
376,0.07360,41,30,0
377,0.07377,41,40,2
378,0.07394,43,39,5
379,0.07410,43,28,1
380,0.07427,41,27,0
381,0.07444,41,27,0
382,0.07461,39,26,0
383,0.07478,45,27,8
384,0.07495,44,26,0
385,0.07512,43,26,0
386,0.07529,42,24,1
387,0.07546,42,23,2
388,0.07563,42,23,0
389,0.07580,41,22,0
390,0.07597,41,22,0
391,0.07614,42,21,4
392,0.07631,40,39,0
393,0.07648,40,39,0
394,0.07665,39,39,0
395,0.07682,39,39,0
396,0.07698,38,37,2
397,0.07716,39,37,3
398,0.07733,41,36,4
399,0.07750,43,35,4
400,0.07766,43,36,0
401,0.07783,42,34,2
402,0.07800,42,35,0
403,0.07817,42,37,2
404,0.07834,44,37,4
405,0.07851,45,40,1
406,0.07868,42,38,0
