case_id,lat,lon,alt,pitch,yaw,roll,rendered,hit,false_positives,false_negatives
6113,-42.396748,-10.6401825,9.078195,49.028748,91.30243,2.258789,11,10,1,0
6114,17.070206,38.365646,2.361144,71.04529,76.52242,-11.412125,0,0,0,0
6115,37.614677,-112.934494,7.064259,-65.25405,340.00485,-176.79294,5,5,0,0
6116,31.823822,-159.7444,6.858952,-47.71044,16.825676,104.338684,0,0,0,0
6117,-3.5482635,13.083176,1.4720683,-88.631516,31.04446,145.95111,1,1,0,0
6118,-74.7328,67.74466,3.8019578,84.52908,226.20103,0.34934998,9,9,0,0
6119,-80.72786,-115.818855,3.6081824,12.192429,214.2064,-111.67279,0,0,0,0
6120,-10.9739685,-159.4331,0.21504912,-83.371185,113.71678,-66.463554,5,3,2,0
6121,1.9459229,143.33215,7.5382943,-2.4819412,116.93095,19.7984,0,0,0,0
6122,-52.616165,116.34418,0.53525954,64.82597,296.29056,-126.908516,18,15,3,0
6123,-35.363647,107.19125,8.516793,-62.206924,302.28964,166.3934,0,0,0,0
6124,29.441963,7.771118,8.268875,6.1173477,13.012963,-172.06062,0,0,0,0
6125,-16.40622,-150.91815,4.2386,-72.83385,317.62543,94.27844,0,0,0,0
6126,-54.33557,28.745453,4.7676797,47.525818,52.322887,21.267319,7,5,2,0
6127,-80.86891,-163.13582,8.132008,4.638031,120.73185,81.33682,0,0,0,0
6128,-36.9738,-66.18119,0.59308875,30.933014,183.9094,6.498825,0,0,0,0
6129,-49.750435,-124.93815,6.411299,-35.002205,260.44626,36.131332,0,0,0,0
6130,-14.516205,145.34265,7.4369283,58.166016,337.21512,-130.91179,0,0,0,0
6131,-11.116119,-89.37888,3.1078727,46.731796,198.53226,-166.37564,0,0,0,0
6132,68.98686,12.68457,1.067599,-73.97456,98.41618,-91.489655,12,12,0,0
6133,49.234985,-48.322052,9.7986355,-70.90723,9.725971,-172.96889,7,7,0,0
6134,62.749588,-82.11011,8.270387,-54.05761,187.75392,-35.17932,0,0,0,0
6135,50.15959,38.707947,9.250416,-4.4834137,346.8215,-134.81967,0,0,0,0
6136,21.000488,-67.8363,3.2506602,-72.04811,309.09277,4.1606445,7,7,0,0
6137,-48.9148,-142.56592,4.6991315,45.574097,327.67056,-85.24208,15,15,0,0
6138,11.929634,57.547974,1.4687066,-6.329857,93.58009,67.5833,13,12,1,0
6139,-25.580986,-167.13283,8.982485,42.645798,290.97092,76.8085,7,6,1,0
6140,33.05178,-21.830795,1.3749653,87.96324,229.28229,-62.425606,0,0,0,0
6141,29.919998,-126.14577,0.24492128,-30.493568,257.719,36.86963,16,15,1,0
6142,-65.29571,-64.5687,7.014396,-36.005196,238.67271,46.6436,0,0,0,0
6143,49.002426,-52.490303,3.4335933,49.00746,145.20184,-121.88609,0,0,0,0
6144,-24.101433,111.52869,6.968739,21.33992,255.84592,-157.63885,5,5,0,0
6145,-80.56015,-87.095726,9.304105,-67.95548,310.40253,-43.12613,0,0,0,0
6146,-40.75622,-44.345184,7.6054187,1.853157,205.33366,-6.7851715,0,0,0,0
6147,-36.561756,93.38681,5.154762,-0.0023498535,9.695237,149.92471,0,0,0,0
6148,34.161568,57.281067,1.1018326,-27.022182,314.3973,149.66217,0,0,0,0
6149,54.546997,-163.08617,4.0080876,53.831635,91.704025,-47.100174,0,0,0,0
6150,10.110527,-99.119225,1.2137864,-26.815796,140.67192,-95.24699,0,0,0,0
6151,-68.62342,43.76198,1.4583639,67.043945,130.20084,-80.7859,10,10,0,0
6152,14.039253,46.473694,2.2568161,-40.775753,227.03687,-111.30263,0,0,0,0
6153,78.59157,-109.00181,1.9039236,-15.351997,93.91743,-21.129837,3,3,0,0
6154,-71.213455,90.36569,9.269152,-60.10994,145.58798,21.753662,0,0,0,0
6155,38.147842,33.08275,8.382971,-84.62114,180.14658,-13.477814,3,3,0,0
6156,21.647736,50.458984,9.825074,45.963882,102.58627,-40.187866,0,0,0,0
6157,66.24266,167.98013,2.7316601,-50.69073,89.00708,18.172852,5,5,0,0
6158,-55.174294,-49.492752,0.46740523,-28.953083,46.258236,17.048737,9,7,2,0
6159,23.946335,-171.84734,5.283193,-41.936745,185.24805,-174.12221,0,0,0,0
6160,-38.01449,27.691498,3.2278981,-37.04534,29.322716,-139.9758,0,0,0,0
6161,-28.015594,-174.18811,5.8266816,-40.185093,244.4671,-170.1669,0,0,0,0
6162,-32.36885,117.89099,0.20426239,10.36599,268.1193,-82.396515,21,18,3,0
6163,12.63884,71.80304,0.044524655,56.25981,210.61775,-2.7795563,18,14,4,0
6164,68.52342,103.02463,6.66258,34.41378,150.21335,101.07056,0,0,0,0
6165,24.23716,17.496902,8.147053,73.74666,281.6808,-112.814835,0,0,0,0
6166,78.85759,154.83743,5.6338644,-20.095589,212.35246,-121.18666,6,6,0,0
6167,-23.80177,139.06491,4.9231873,-14.24353,250.37462,-8.677887,10,9,1,0
6168,83.41943,-40.49237,9.473507,5.8535995,40.649635,-120.04572,0,0,0,0
6169,25.103447,93.51175,2.925864,78.91701,276.77994,-90.95571,0,0,0,0
6170,15.43869,157.44879,6.3523684,-59.973763,254.86794,-108.6992,7,5,2,0
6171,-25.23796,65.84096,3.0109744,49.739822,319.7532,147.20926,0,0,0,0
6172,-21.64154,-37.31758,2.1482549,87.16757,268.68173,81.991486,5,4,1,0
6173,-64.26079,36.728134,8.948572,44.267532,224.0043,23.37854,3,3,0,0
6174,23.239357,136.15588,0.70654166,-54.38668,167.78941,140.21225,12,12,0,0
6175,-17.68393,70.07724,5.3250937,37.81861,29.713232,82.084564,0,0,0,0
6176,6.0172577,57.380493,7.938681,71.96619,17.752855,96.35809,0,0,0,0
6177,47.349792,129.8345,0.4553466,-62.98254,161.56088,-116.51932,15,14,1,0
6178,21.33316,48.765045,7.727356,-41.47373,83.43826,-142.98508,4,3,1,0
6179,-21.996998,-174.5648,8.523012,-48.702896,164.04887,113.74884,0,0,0,0
6180,82.15425,37.0197,0.10701953,-46.83708,131.93367,-35.86319,11,7,4,0
6181,57.811066,15.258209,7.6684127,-73.937996,139.98337,56.64006,11,11,0,0
6182,-33.095413,126.004974,4.68858,-3.684578,40.81801,63.793655,0,0,0,0
6183,-36.944054,7.463455,3.242299,-25.301414,138.99814,-84.47708,2,2,0,0
6184,28.324371,105.401276,4.7969737,54.810165,63.65667,-61.136055,0,0,0,0
6185,-56.084465,27.587128,7.944396,-68.37914,32.991478,-74.6855,0,0,0,0
6186,60.77646,49.573547,0.29037595,-22.81829,274.5987,130.04794,10,9,1,0
6187,73.357056,-7.730301,3.0654707,53.538757,345.3523,163.66956,0,0,0,0
6188,-4.7811127,-68.99348,9.529809,-39.814823,243.95052,-20.423721,0,0,0,0
6189,79.24342,118.49176,7.551663,41.136597,270.8503,20.80214,0,0,0,0
6190,-56.437786,-137.31516,3.4678893,-18.81234,86.601204,21.988617,0,0,0,0
6191,-62.378826,-12.307373,4.109832,-21.650787,13.065176,-22.684723,0,0,0,0
6192,46.63028,153.79395,7.3254533,16.125977,155.17442,-103.642044,0,0,0,0
6193,-82.341194,-25.853073,4.0726686,-8.576828,256.2298,149.4133,0,0,0,0
6194,-57.55667,93.115875,7.8248453,27.718315,339.78174,-35.665146,0,0,0,0
6195,1.2043228,36.97374,5.2423234,-25.04918,318.36258,-129.12779,0,0,0,0
6196,-75.957924,-135.5042,6.448579,13.617325,26.25261,148.38736,0,0,0,0
6197,2.4305801,-34.846222,9.431298,57.06427,222.56398,151.14246,0,0,0,0
6198,-51.42841,8.7535095,1.692143,89.19212,214.71605,34.610962,14,14,0,0
6199,55.53737,-145.07076,8.919361,0.977211,133.3517,138.96002,0,0,0,0
6200,11.843658,136.41531,5.7797055,84.62666,30.40855,54.48401,0,0,0,0
6201,-9.021263,48.961563,3.5452127,-74.9382,54.910458,50.839966,0,0,0,0
6202,5.0964584,125.64139,3.8114467,-18.978004,108.58393,49.943375,0,0,0,0
6203,73.18463,-143.37808,2.6516838,88.64821,258.1304,73.82785,0,0,0,0
6204,-66.82983,-70.27673,5.811292,35.190025,225.39943,-103.84459,0,0,0,0
6205,5.2453003,-135.21043,8.603188,55.734344,113.30977,-38.115936,0,0,0,0
6206,55.817444,-31.473251,4.6437817,27.826096,236.65358,106.35736,0,0,0,0
6207,-51.4726,138.53302,1.0941954,-66.20677,295.39667,175.27597,0,0,0,0
6208,46.36731,-151.74496,5.26883,-5.252014,156.25052,73.14389,0,0,0,0
6209,37.69049,21.048965,3.9674664,-50.13446,98.6447,102.35266,9,9,0,0
6210,44.46141,83.90732,3.3031278,-14.111137,336.26593,-29.42595,0,0,0,0
6211,14.072624,-67.76589,8.760807,71.12477,47.55793,153.07785,0,0,0,0
6212,62.081177,68.807434,3.3569345,41.731583,280.4895,-168.52644,0,0,0,0
6213,-37.08615,-104.7353,1.7010909,-17.897423,280.9997,-156.30472,2,0,2,0
6214,24.584915,25.57817,0.115011424,1.8719482,113.319,-155.69275,14,11,3,0
6215,-47.613594,50.55899,3.364285,-44.238205,36.340538,-78.097946,0,0,0,0
6216,50.973175,2.9355316,7.630443,65.3983,175.88087,-116.0029,0,0,0,0
6217,-15.099754,-133.50262,2.7202578,-39.395412,50.520264,111.90488,0,0,0,0
6218,-59.8984,-127.32135,4.8001018,7.775131,71.25237,-18.939713,0,0,0,0
6219,13.652687,46.275528,9.781089,-28.996765,64.898994,-11.266052,0,0,0,0
6220,-67.94026,51.24965,7.4905043,43.91797,10.66035,-76.55725,2,2,0,0
6221,-10.108955,60.26512,3.571655,-7.058876,270.7723,141.18976,0,0,0,0
6222,-73.5655,-119.7608,0.2828034,72.14728,202.5315,-124.57706,11,11,0,0
6223,-51.143215,163.25754,4.641221,-17.648643,142.42543,152.7977,0,0,0,0
6224,-8.322685,50.212067,3.305676,18.70868,236.26921,27.961014,0,0,0,0
6225,14.880173,-74.0346,3.8348072,58.240555,74.60151,100.14542,0,0,0,0
6226,-57.706604,62.22824,2.124849,87.54721,142.63205,-95.131744,10,10,0,0
6227,78.593994,160.15671,1.5430651,17.785263,171.25893,117.97809,0,0,0,0
6228,53.072113,171.43408,1.1580158,-54.97721,222.58865,-160.82825,14,14,0,0
6229,-38.264797,86.79703,4.1494203,85.58855,342.4927,-129.57355,7,7,0,0
