Frame,Progress,VisibleTiles,DisplayedTiles,TextureChanges,FastFlickers
211,0.04555,45,45,0,0
212,0.04571,45,45,0,0
213,0.04588,45,45,0,0
214,0.04605,47,47,0,0
215,0.04622,47,47,4,0
216,0.04639,47,47,0,0
217,0.04656,45,45,0,0
218,0.04673,45,45,2,0
219,0.04690,46,46,0,0
220,0.04707,49,49,4,0
221,0.04724,49,49,0,0
222,0.04741,48,48,0,0
223,0.04758,53,53,0,0
224,0.04775,53,53,0,0
225,0.04792,53,53,8,4
226,0.04809,51,51,0,0
227,0.04826,51,51,0,0
228,0.04842,51,51,0,0
229,0.04859,49,49,0,0
230,0.04876,49,49,0,0
231,0.04893,49,49,0,0
232,0.04910,47,47,0,0
233,0.04927,49,49,5,0
234,0.04945,49,49,0,0
235,0.04961,49,49,0,0
236,0.04979,47,47,0,0
237,0.04996,47,47,0,0
238,0.05012,46,46,0,0
239,0.05030,44,44,0,0
240,0.05047,44,44,0,0
241,0.05064,44,44,0,0
242,0.05081,42,42,0,0
243,0.05098,45,45,2,0
244,0.05115,48,48,0,0
245,0.05132,47,47,0,0
246,0.05149,48,48,0,0
247,0.05166,48,48,4,4
248,0.05183,48,48,0,0
249,0.05200,49,49,0,0
250,0.05217,48,48,0,0
251,0.05234,48,48,0,0
252,0.05251,47,47,5,1
253,0.05268,47,47,0,0
254,0.05285,50,50,0,0
255,0.05302,51,51,0,0
256,0.05319,50,50,0,0
257,0.05335,50,50,0,0
258,0.05352,48,48,0,0
259,0.05369,48,48,0,0
260,0.05386,48,48,0,0
261,0.05403,46,46,6,0
262,0.05420,46,46,0,0
263,0.05437,46,46,0,0
264,0.05454,49,49,0,0
265,0.05471,50,50,0,0
266,0.05488,48,48,0,0
267,0.05505,50,50,0,0
268,0.05522,50,50,4,4
269,0.05539,49,49,0,0
270,0.05556,49,49,0,0
271,0.05573,48,48,4,4
272,0.05590,46,46,0,0
273,0.05607,49,49,0,0
274,0.05624,49,49,0,0
275,0.05641,46,46,0,0
276,0.05658,46,46,3,3
277,0.05675,46,46,0,0
278,0.05692,45,45,0,0
279,0.05709,45,45,0,0
280,0.05725,44,44,0,0
281,0.05742,46,46,0,0
282,0.05759,46,46,0,0
283,0.05776,48,48,0,0
284,0.05793,49,49,0,0
285,0.05810,49,49,4,4
286,0.05827,47,47,4,4
287,0.05844,47,47,0,0
288,0.05861,45,45,0,0
289,0.05878,45,45,2,2
290,0.05895,45,45,0,0
291,0.05912,44,44,0,0
292,0.05929,44,44,0,0
293,0.05946,47,47,0,0
294,0.05963,46,46,0,0
295,0.05980,47,47,0,0
296,0.05997,46,46,0,0
297,0.06014,46,46,0,0
298,0.06031,45,45,0,0
299,0.06048,48,48,0,0
300,0.06065,49,49,0,0
301,0.06082,49,49,0,0
302,0.06099,49,49,0,0
